from	to	weight
301094	301383	0.782
301095	301383	0.375
301096	301383	0.548
301097	301383	0.554
301098	301383	0.58
301099	301383	0.538
301100	301383	0.361
301102	301383	0.539
301104	301383	0.838
301106	301383	0.28
301108	301383	0.349
301109	301383	0.368
301110	301383	0.548
301112	301383	0.327
301113	301383	0.405
301114	301383	0.55
301115	301383	0.555
301116	301383	0.475
301117	301383	0.537
301120	301383	0.396
301012	301383	0.335
301121	301383	0.342
301122	301383	0.537
301123	301383	0.538
301124	301383	0.393
301125	301383	0.373
301127	301383	0.364
301128	301383	0.543
301129	301383	0.549
301130	301383	0.358
301131	301383	0.571
301133	301383	0.537
301134	301383	0.324
301135	301383	0.346
301136	301383	0.808
301138	301383	0.566
301139	301383	0.273
301140	301383	0.502
301001	301141	0.734
301010	301141	0.681
301092	301141	0.317
301093	301141	0.325
301094	301141	0.545
301095	301141	0.359
301096	301141	0.836
301097	301141	0.842
301098	301141	0.774
301099	301141	0.746
301100	301141	0.279
301102	301141	0.75
301104	301141	0.504
301106	301141	0.234
301108	301141	0.306
301109	301141	0.278
301110	301141	0.813
301112	301141	0.31
301113	301141	0.674
301114	301141	0.839
301115	301141	0.847
301116	301141	0.725
301117	301141	0.837
301120	301141	0.342
301012	301141	0.306
301121	301141	0.334
301122	301141	0.742
301123	301141	0.726
301124	301141	0.327
301125	301141	0.333
301127	301141	0.321
301128	301141	0.79
301129	301141	0.808
301130	301141	0.317
301131	301141	0.778
301133	301141	0.695
301134	301141	0.298
301135	301141	0.29
301136	301141	0.629
301138	301141	0.857
301139	301141	0.202
301140	301141	0.729
301383	301141	0.554
301001	301142	0.797
301010	301142	0.723
301092	301142	0.321
301093	301142	0.319
301094	301142	0.607
301095	301142	0.351
301096	301142	0.706
301097	301142	0.721
301098	301142	0.834
301099	301142	0.796
301100	301142	0.307
301102	301142	0.795
301104	301142	0.577
301106	301142	0.234
301108	301142	0.325
301109	301142	0.299
301110	301142	0.778
301112	301142	0.312
301113	301142	0.552
301114	301142	0.726
301115	301142	0.737
301116	301142	0.643
301117	301142	0.712
301120	301142	0.357
301012	301142	0.313
301121	301142	0.326
301122	301142	0.799
301123	301142	0.78
301124	301142	0.343
301125	301142	0.348
301127	301142	0.335
301128	301142	0.794
301129	301142	0.675
301130	301142	0.334
301131	301142	0.738
301133	301142	0.716
301134	301142	0.294
301135	301142	0.304
301136	301142	0.702
301138	301142	0.732
301139	301142	0.222
301140	301142	0.782
301383	301142	0.617
301141	301142	0.744
301001	301143	0.914
301010	301143	0.878
301092	301143	0.274
301093	301143	0.275
301094	301143	0.519
301095	301143	0.301
301096	301143	0.705
301097	301143	0.714
301098	301143	0.867
301099	301143	0.927
301100	301143	0.251
301102	301143	0.938
301104	301143	0.491
301106	301143	0.207
301108	301143	0.26
301109	301143	0.245
301110	301143	0.852
301112	301143	0.265
301113	301143	0.52
301114	301143	0.733
301115	301143	0.749
301116	301143	0.624
301117	301143	0.725
301120	301143	0.301
301012	301143	0.267
301121	301143	0.289
301122	301143	0.945
301123	301143	0.883
301124	301143	0.284
301125	301143	0.29
301127	301143	0.274
301128	301143	0.866
301129	301143	0.702
301130	301143	0.275
301131	301143	0.76
