from	to	weight
301024	301035	0.024
301025	301035	0.016
301026	301035	0.003
301027	301035	0.004
301028	301035	0.004
301029	301035	0.01
301030	301035	0.037
301031	301035	0.003
301032	301035	0.002
301033	301035	0.002
301034	301035	0.008
301001	301037	0.002
301002	301037	0.002
301003	301037	0.015
301004	301037	0.024
301005	301037	0.004
301006	301037	0.009
301007	301037	0.002
301008	301037	0.003
301009	301037	0.002
301010	301037	0.003
301012	301037	0.011
301014	301037	0.003
301015	301037	0.004
301016	301037	0.047
301017	301037	0.03
301018	301037	0.003
301019	301037	0.013
301020	301037	0.004
301022	301037	0.002
301023	301037	0.002
301024	301037	0.002
301025	301037	0.002
301026	301037	0.014
301027	301037	0.015
301028	301037	0.011
301029	301037	0.002
301030	301037	0.003
301031	301037	0.03
301032	301037	0.015
301033	301037	0.011
301034	301037	0.004
301035	301037	0.003
301001	301038	0.008
301002	301038	0.007
301003	301038	0.006
301004	301038	0.004
301005	301038	0.023
301006	301038	0.003
301007	301038	0.007
301008	301038	0.03
301009	301038	0.009
301010	301038	0.017
301012	301038	0.006
301014	301038	0.018
301015	301038	0.002
301016	301038	0.004
301017	301038	0.004
301018	301038	0.008
301019	301038	0.004
301020	301038	0.031
301022	301038	0.012
301023	301038	0.007
301024	301038	0.009
301025	301038	0.007
301026	301038	0.003
301027	301038	0.006
301028	301038	0.007
301029	301038	0.005
301030	301038	0.018
301031	301038	0.003
301032	301038	0.003
301033	301038	0.003
301034	301038	0.01
301035	301038	0.015
301037	301038	0.004
301001	301039	0.004
301002	301039	0.004
301003	301039	0.008
301004	301039	0.005
301005	301039	0.008
301006	301039	0.004
301007	301039	0.004
301008	301039	0.009
301009	301039	0.005
301010	301039	0.007
301012	301039	0.009
301014	301039	0.007
301015	301039	0.003
301016	301039	0.005
301017	301039	0.004
301018	301039	0.006
301019	301039	0.005
301020	301039	0.01
301022	301039	0.006
301023	301039	0.004
301024	301039	0.005
301025	301039	0.005
301026	301039	0.004
301027	301039	0.007
301028	301039	0.01
301029	301039	0.004
301030	301039	0.01
301031	301039	0.004
301032	301039	0.004
301033	301039	0.004
301034	301039	0.019
301035	301039	0.008
301037	301039	0.004
301038	301039	0.012
301001	301040	0.003
301002	301040	0.003
301003	301040	0.042
301004	301040	0.037
301005	301040	0.005
301006	301040	0.011
301007	301040	0.003
301008	301040	0.004
301009	301040	0.003
301010	301040	0.004
301012	301040	0.043
301014	301040	0.004
301015	301040	0.006
301016	301040	0.024
301017	301040	0.019
301018	301040	0.003
301019	301040	0.018
301020	301040	0.005
301022	301040	0.003
301023	301040	0.003
301024	301040	0.003
301025	301040	0.003
301026	301040	0.016
301027	301040	0.025
301028	301040	0.026
301029	301040	0.003
301030	301040	0.004
301031	301040	0.016
301032	301040	0.015
301033	301040	0.013
301034	301040	0.006
301035	301040	0.004
301037	301040	0.015
301038	301040	0.006
301039	301040	0.007
