from	to	weight
LOC_Os01g02560	301363	0.652
LOC_Os01g02560	301364	0.652
LOC_Os01g02560	301365	0.652
LOC_Os01g02560	301366	0.652
LOC_Os01g02560	301367	0.652
LOC_Os01g02560	301368	0.594
LOC_Os01g02560	301369	0.652
LOC_Os01g02560	301370	0.624
LOC_Os01g02560	301371	0.624
LOC_Os01g02560	301372	0.624
LOC_Os01g02560	301037	0.624
LOC_Os01g02560	301373	0.652
LOC_Os01g02560	301374	0.652
LOC_Os01g02560	301375	0.652
LOC_Os01g02560	301377	0.624
LOC_Os01g02560	301378	0.652
LOC_Os01g02560	301379	0.483
LOC_Os01g02560	301380	0.652
LOC_Os01g02560	301004	0.652
LOC_Os01g02560	301038	0.652
LOC_Os01g02560	301039	0.652
LOC_Os01g02560	301040	0.561
LOC_Os01g02560	301041	0.624
LOC_Os01g02560	301042	0.652
LOC_Os01g02560	301043	0.652
LOC_Os01g02560	301045	0.594
LOC_Os01g02560	301005	0.624
LOC_Os01g02560	301047	0.652
LOC_Os01g02560	301049	0.624
LOC_Os01g02560	301050	0.624
LOC_Os01g02560	301051	0.624
LOC_Os01g02560	301052	0.652
LOC_Os01g02560	301053	0.652
LOC_Os01g02560	301054	0.652
LOC_Os01g02560	301055	0.624
LOC_Os01g02560	301006	0.652
LOC_Os01g02560	301056	0.624
LOC_Os01g02560	301401	0.652
LOC_Os01g02560	301416	0.652
LOC_Os01g02560	301417	0.652
LOC_Os01g02560	301404	0.652
LOC_Os01g02560	301405	0.652
LOC_Os01g02560	301386	0.652
LOC_Os01g02560	301406	0.594
LOC_Os01g02560	301402	0.652
LOC_Os01g02560	301418	0.652
LOC_Os01g02560	301408	0.652
LOC_Os01g02560	301419	0.624
LOC_Os01g02560	301420	0.652
LOC_Os01g02560	301421	0.652
LOC_Os01g02560	301409	0.652
LOC_Os01g02560	301410	0.652
LOC_Os01g02560	301387	0.652
LOC_Os01g02560	301411	0.624
LOC_Os01g02560	301414	0.652
LOC_Os01g02560	301415	0.652
LOC_Os01g02560	312001	0.624
LOC_Os01g02560	312002	0.652
LOC_Os01g02560	312004	0.594
LOC_Os01g02560	312005	0.624
LOC_Os01g02560	301388	0.652
LOC_Os01g02560	312009	0.652
LOC_Os01g02560	312010	0.624
LOC_Os01g02560	301058	0.624
LOC_Os01g02560	312017	0.652
LOC_Os01g02560	301059	0.624
LOC_Os01g02560	301060	0.652
LOC_Os01g02560	301062	0.652
LOC_Os01g02560	301007	0.652
LOC_Os01g02560	301063	0.594
LOC_Os01g02560	301064	0.594
LOC_Os01g02560	301066	0.624
LOC_Os01g02560	301067	0.594
LOC_Os01g02560	301068	0.383
LOC_Os01g02560	301069	0.624
LOC_Os01g02560	301422	0.624
LOC_Os01g02560	301071	0.624
LOC_Os01g02560	301072	0.652
LOC_Os01g02560	301008	0.652
LOC_Os01g02560	301073	0.624
LOC_Os01g02560	301074	0.652
LOC_Os01g02560	301075	0.594
LOC_Os01g02560	301076	0.624
LOC_Os01g02560	301077	0.652
LOC_Os01g02560	301081	0.624
LOC_Os01g02560	301009	0.594
LOC_Os01g02560	301082	0.594
LOC_Os01g02560	301083	0.624
LOC_Os01g02560	301084	0.624
LOC_Os01g02560	301085	0.624
LOC_Os01g02560	301086	0.652
LOC_Os01g02560	301087	0.652
LOC_Os01g02560	301088	0.652
LOC_Os01g02560	301090	0.624
LOC_Os01g02560	301091	0.624
LOC_Os01g02570	301001	0.662
LOC_Os01g02570	301010	0.662
LOC_Os01g02570	301092	0.662
LOC_Os01g02570	301093	0.662
LOC_Os01g02570	301094	0.662
LOC_Os01g02570	301095	0.662
LOC_Os01g02570	301096	0.662
LOC_Os01g02570	301097	0.662
LOC_Os01g02570	301098	0.662
LOC_Os01g02570	301099	0.662
LOC_Os01g02570	301100	0.571
LOC_Os01g02570	301102	0.662
LOC_Os01g02570	301104	0.662
LOC_Os01g02570	301106	0.662
LOC_Os01g02570	301108	0.662
LOC_Os01g02570	301109	0.662
LOC_Os01g02570	301110	0.662
LOC_Os01g02570	301112	0.662
LOC_Os01g02570	301113	0.662
LOC_Os01g02570	301114	0.662
LOC_Os01g02570	301115	0.662
LOC_Os01g02570	301116	0.662
LOC_Os01g02570	301117	0.662
LOC_Os01g02570	301120	0.662
LOC_Os01g02570	301012	0.571
LOC_Os01g02570	301121	0.571
LOC_Os01g02570	301122	0.662
LOC_Os01g02570	301123	0.571
LOC_Os01g02570	301124	0.662
LOC_Os01g02570	301125	0.571
LOC_Os01g02570	301127	0.571
LOC_Os01g02570	301128	0.662
LOC_Os01g02570	301129	0.571
LOC_Os01g02570	301130	0.662
LOC_Os01g02570	301131	0.662
LOC_Os01g02570	301133	0.662
LOC_Os01g02570	301134	0.662
LOC_Os01g02570	301135	0.662
LOC_Os01g02570	301136	0.662
LOC_Os01g02570	301138	0.662
LOC_Os01g02570	301139	0.571
LOC_Os01g02570	301140	0.662
LOC_Os01g02570	301383	0.662
LOC_Os01g02570	301141	0.662
LOC_Os01g02570	301142	0.662
LOC_Os01g02570	301143	0.662
LOC_Os01g02570	301144	0.571
LOC_Os01g02570	301145	0.662
LOC_Os01g02570	301146	0.662
LOC_Os01g02570	301147	0.662
LOC_Os01g02570	301148	0.458
LOC_Os01g02570	301149	0.662
LOC_Os01g02570	301150	0.662
LOC_Os01g02570	301014	0.662
LOC_Os01g02570	301151	0.662
LOC_Os01g02570	301152	0.662
LOC_Os01g02570	301153	0.662
LOC_Os01g02570	301154	0.662
LOC_Os01g02570	301155	0.662
LOC_Os01g02570	301156	0.662
LOC_Os01g02570	301157	0.571
LOC_Os01g02570	301158	0.662
LOC_Os01g02570	301015	0.571
LOC_Os01g02570	301162	0.662
LOC_Os01g02570	301163	0.662
LOC_Os01g02570	301164	0.571
LOC_Os01g02570	301165	0.662
LOC_Os01g02570	301168	0.662
LOC_Os01g02570	301169	0.662
LOC_Os01g02570	301170	0.662
LOC_Os01g02570	301016	0.662
LOC_Os01g02570	301171	0.662
LOC_Os01g02570	301172	0.662
LOC_Os01g02570	301173	0.662
